Province,Biomass\timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_04,14. Oil palm shell,55.28,51.2,61.4,102.68,125.04,123.84,129.32,188.4,231.84,168.92,183.84,101.44
Province_04,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_04,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_04,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,1. Rice straw,0,0,821.73,2156.98,1146.11,84.77,0,0,0,9609.88,370877.57,9414.86
Province_05,2. Rice Husk,0,0,352.17,924.42,491.19,36.33,0,0,0,4118.52,158947.53,4034.94
Province_05,3. Sugarcane leaves,91068.54667,91068.54667,0,0,0,0,0,0,0,0,0,91068.54667
Province_05,4. Bagasse,149995.2533,149995.2533,0,0,0,0,0,0,0,0,0,149995.2533
Province_05,5. Molasse,26784.86667,26784.86667,0,0,0,0,0,0,0,0,0,26784.86667
Province_05,6. Corn leaves & trunk,912.64,1006.48,1034.08,1565.84,552,261.28,526.24,406.64,338.56,274.16,244.72,206.08
Province_05,7. Corncobob,119.04,131.28,134.88,204.24,72,34.08,68.64,53.04,44.16,35.76,31.92,26.88
Province_05,8. Peeled cassava,97722.72,137324.16,179632.08,55627.92,49003.92,25071.84,27280.08,9758.16,9046.08,24288.48,52707.6,44801.28
Province_05,9. Cassava rhizome,27145.2,38145.6,49897.8,15452.2,13612.2,6964.4,7577.8,2710.6,2512.8,6746.8,14641,12444.8
Province_05,10. Cassava fiber,8143.56,11443.68,14969.34,4635.66,4083.66,2089.32,2273.34,813.18,753.84,2024.04,4392.3,3733.44
Province_05,11. Cassava peels,38003.28,53403.84,69856.92,21633.08,19057.08,9750.16,10608.92,3794.84,3517.92,9445.52,20497.4,17422.72
Province_05,12 Oil palm bunch,159.68,137.92,172.8,172.8,198.4,208.64,216.64,230.4,225.92,223.68,219.52,183.36
Province_05,13. Oil palm fiber,94.81,81.89,102.6,102.6,117.8,123.88,128.63,136.8,134.14,132.81,130.34,108.87
Province_05,14. Oil palm shell,19.96,17.24,21.6,21.6,24.8,26.08,27.08,28.8,28.24,27.96,27.44,22.92
Province_05,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,1. Rice straw,17790.43,88579.75,29618.05,10443.37,5274.85,659.05,12578.79,17368.05,48841.24,58824.99,23628.29,7612.64
