Province,Biomass (tons) \timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_05,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_05,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,3. Sugarcane leaves,3389705.31,754947118,0,0,0,0,0,0,0,0,0,1439816.836
Province_06,4. Bagasse,5583044.04,1243442312,0,0,0,0,0,0,0,0,0,2371463.024
Province_06,5. Molasse,996972.15,222043270,0,0,0,0,0,0,0,0,0,423475.54
Province_06,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_06,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,3. Sugarcane leaves,1986955.784,16976646.42,0,0,0,0,0,0,0,0,0,276413.2544
Province_07,4. Bagasse,3272633.056,27961535.28,0,0,0,0,0,0,0,0,0,455268.8896
Province_07,5. Molasse,584398.76,4993131.3,0,0,0,0,0,0,0,0,0,81298.016
Province_07,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_07,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,3. Sugarcane leaves,4432161.46,29224983.9,0,0,0,0,0,0,0,0,0,21402483.54
Province_08,4. Bagasse,7300030.64,48135267.6,0,0,0,0,0,0,0,0,0,35251149.36
Province_08,5. Molasse,1303576.9,8595583.5,0,0,0,0,0,0,0,0,0,6294848.1
Province_08,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_08,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,3. Sugarcane leaves,2603194.836,4702486.62,0,0,0,0,0,0,0,0,0,848947.598
Province_09,4. Bagasse,4287615.024,7745272.08,0,0,0,0,0,0,0,0,0,1398266.632
Province_09,5. Molasse,765645.54,1383084.3,0,0,0,0,0,0,0,0,0,249690.47
Province_09,6. Corn leaves & trunk,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,7. Corncobob,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,8. Peeled cassava,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,9. Cassava rhizome,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,10. Cassava fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,11. Cassava peels,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,12 Oil palm bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,13. Oil palm fiber,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,14. Oil palm shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_09,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,1. Rice straw,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,2. Rice Husk,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
