Consumer list,1,2,3,4,5,6,7,8,9,10,11,12,,
Province_36,126026.4395,123067.9961,134592.9213,124677.2593,131008.6533,126180.8637,130366.5736,130228.4045,129903.3008,124774.7904,121117.374,117980.1236,,
Province_37,636159.1716,621225.4725,679401.2564,629348.7484,661308.5056,636938.6779,658067.4005,657369.9476,655728.8817,629841.0681,611379.0775,595542.7922,,
Province_38,41812.73561,40831.19067,44654.90144,41365.10797,43465.722,41863.9701,43252.69439,43206.853,43098.99092,41397.4666,40184.01819,39143.14911,,
Province_39,53953.47226,52686.92616,57620.88873,53375.87157,56086.41941,54019.58319,55811.53715,55752.38527,55613.20438,53417.62583,51851.84081,50508.74522,,
Province_40,40983.42397,40021.34695,43769.21843,40544.67456,42603.62511,41033.64228,42394.82268,42349.89051,42244.16776,40576.39138,39387.01045,38366.78591,,
Province_41,32806.02549,32035.91113,35035.97202,32454.81949,34102.94885,32846.22377,33935.80865,33899.84177,33815.21382,32480.20788,31528.14342,30711.48369,,
Province_42,86132.69245,84110.7461,91987.44918,85210.59604,89537.78341,86238.2336,89098.9544,89004.52284,88782.33093,85277.25361,82777.59467,80633.44277,,
Province_43,124184.5962,121269.3896,132625.8812,122855.1339,129093.9963,124336.7636,128461.3004,128325.1506,128004.7982,122951.2396,119347.2754,116255.8751,,
Province_44,51214.81523,50012.5585,54696.07508,50666.53331,53239.49482,51277.57038,52978.56547,52922.41612,52790.3,50706.16815,49219.86176,47944.94117,,
Province_45,108485.534,105938.8596,115859.6958,107324.1385,112774.3018,108618.4649,112221.5895,112102.6514,111822.797,107408.0948,104259.7335,101559.1392,,
Province_46,430557.3875,420450.1459,459823.9609,425948.041,447578.6489,431084.9633,445385.0442,444913.0027,443802.3168,426281.2468,413786.0305,403067.9116,,
Province_47,34898.59091,34079.35402,37270.77682,34524.98288,36278.23983,34941.35327,36100.43842,36062.17736,35972.15133,34551.99069,33539.19784,32670.44664,,
Province_48,243210.1026,237500.798,259741.9901,240606.4087,252824.948,243508.1157,251585.8407,251319.1973,250691.8012,240794.6276,233736.4213,227682.0488,,
Province_49,178610.5832,174417.7384,190751.4032,176698.4617,185671.6104,178829.4405,184761.6249,184565.8052,184105.053,176836.6873,171653.2253,167206.9667,,
Province_50,142342.6638,139001.2005,152018.2196,140818.8097,147969.9083,142517.0809,147244.7006,147088.6433,146721.4495,140928.9678,136798.0379,133254.6181,,
Province_51,33452.11712,32666.8359,35725.98088,33093.99436,34774.58247,33493.10707,34604.15056,34567.47534,34481.1807,33119.88276,32149.06806,31316.32478,,
Province_52,204425.3188,199626.4786,218320.8615,202236.8367,212506.8821,204675.8077,211465.3755,211241.2539,210713.9088,202395.0402,196462.4081,191373.5281,,
Province_53,869591.1114,849177.6479,928700.4259,860281.6748,903968.7298,870656.6493,899538.3353,898584.9592,896341.7215,860954.6461,835718.2215,814070.9772,,
Province_54,84609.07339,82622.89368,90360.26412,83703.28814,87953.931,84712.74761,87522.86452,87430.10338,87211.84187,83768.76659,81313.32463,79207.10108,,
Province_55,68331.42171,66727.35635,72976.16042,67599.89739,71032.77354,68415.15039,70684.63848,70609.72333,70433.45242,67652.77867,65669.73083,63968.71647,,
Province_56,63750.92138,62254.38228,68084.3066,63068.43377,66271.19191,63829.03743,65946.39359,65876.50028,65712.04543,63117.77022,61267.65319,59680.66392,,
Province_57,841201.6525,821454.6255,898381.2309,832196.1402,874456.9481,842232.4039,870171.1922,869248.941,867078.938,832847.1411,808434.6076,787494.079,,
Province_58,683362.4329,667320.6474,729813.0974,676046.6736,710377.8573,684199.7788,706896.261,706147.0567,704384.2232,676575.5236,656743.646,639732.3021,,
Province_59,37724.03637,36838.47277,40288.27823,37320.18044,39215.38387,37770.26084,39023.18737,38981.82863,38884.51395,37349.37485,36254.58468,35315.498,,
Province_60,354646.4432,346321.1945,378753.0697,350849.7638,368666.7108,355081.0028,366859.8574,366471.0408,365556.1783,351124.2226,340832.0196,332003.5966,,
Province_61,28765.54205,28090.27716,30720.84202,28457.59158,29902.73264,28800.78939,29756.1779,29724.6408,29650.43587,28479.85306,27645.04757,26928.96997,,
Province_62,53741.32277,52479.75683,57394.31866,53165.99325,55865.883,53807.17374,55592.0816,55533.16231,55394.52869,53207.58334,51647.95511,50310.14068,,
Province_63,71127.9377,69458.22473,75962.76591,70366.47519,73939.84443,71215.09304,73577.46167,73499.48057,73315.99563,70421.52067,68357.31508,66586.68539,,
Province_64,290442.2933,283624.2232,310184.727,287332.9537,301924.3729,290798.1816,300444.6269,300126.2006,299376.9621,287557.7252,279128.7924,271898.6412,,
Province_65,45988.22327,44908.65967,49114.2124,45495.89482,47806.27957,46044.57412,47571.97867,47521.5595,47402.92613,45531.48483,44196.85949,43052.04753,,
