Plant code,Latitude,Longitude
F_BGtE_16,14.74236445,99.86007996
F_BGtE_17,13.10058704,102.3139
F_BGtE_18,13.78786459,101.4327688
F_BGtE_19,13.68909118,101.5008507
F_BGtE_20,13.29859779,101.1542211
F_BGtE_21,13.15735665,101.3341956
F_BGtE_22,13.36536576,101.0175826
F_BGtE_23,13.9182722,99.82924894
F_BGtE_24,13.53056997,99.64526212
F_BGtE_25,13.67825535,99.95771544
F_BGtE_26,14.77235432,100.1591471
F_BGtE_27,14.55105641,100.7046976
F_BGtE_28,13.78329952,102.2100772
F_BGtE_29,13.29277795,102.1808993
F_BGtE_30,14.30437691,99.88503552
F_BGtE_31,14.42058284,99.74249306
F_BGtE_32,13.78192544,100.1672236
F_BGtE_33,13.96784473,100.147739
F_BGtE_34,13.55861948,100.1846483
F_BGtE_35,18.61332878,98.84629939
F_BGtE_36,16.86096645,98.62205337
F_BGtE_37,16.26777261,99.59467816
F_BGtE_38,16.61181142,103.5150371
F_BGtE_39,16.6563045,103.8480894
F_BGtE_40,16.40753213,103.4649492
F_BGtE_41,16.80901103,103.0875213
F_BGtE_42,16.1153863,102.7022071
F_BGtE_43,15.12663723,102.44401
F_BGtE_44,14.42936503,102.5287021
F_BGtE_46,14.73102035,102.3938538
F_BGtE_47,16.40577906,103.9978942
F_BGtE_48,14.74821485,104.6583612
F_BGtE_49,15.14885293,105.0495694
F_BGtE_50,17.69205153,101.7432638
F_BGtE_51,15.53507494,102.8600775
F_BGtE_52,14.90020754,102.1488651
F_BGtE_53,15.1183922,101.6356229
F_BGtE_54,15.74922134,101.759596
F_BGtE_55,14.70864032,104.482795
F_BGtE_56,14.90043473,102.0803978
F_BGtE_57,14.4151374,102.4227668
F_BGtE_58,14.91450703,102.150345
F_BGtE_59,16.69696513,104.6730562
F_BGtE_60,15.19724102,104.8427646
F_BGtE_61,16.38955861,104.0066132
F_BGtE_62,14.84113871,103.2916903
F_BGtE_63,14.90082473,102.1567383
F_BGtE_64,16.65630183,103.8480832
F_BGtE_66,15.13590622,104.737919
F_BGtE_67,8.224985057,99.03686637
F_BGtE_68,8.579611889,98.92088365
F_BGtE_69,7.999491416,99.33019881
F_BGtE_70,8.110849519,99.293405
F_BGtE_71,8.385715647,98.72913788
F_BGtE_72,8.382339401,98.71711019
F_BGtE_73,10.69780559,99.20105249
F_BGtE_74,7.709966788,99.32052742
F_BGtE_75,7.722836052,99.324568
F_BGtE_76,7.556431557,99.43910643
F_BGtE_77,9.08401573,99.4295331
F_BGtE_78,9.316687876,99.12348322
F_BGtE_79,9.322296156,99.1284445
F_BGtE_80,8.392461377,99.22767598
F_BGtE_81,8.519071536,99.22637381
F_BGtE_82,9.113570597,99.26610243
F_BGtE_83,8.514577828,98.69463419
F_BGtE_84,8.153870463,99.02188083
F_BGtE_85,8.197460728,99.30769612
F_BGtE_86,8.725150167,98.91023216
F_BGtE_87,9.113570597,99.26610243
F_BGtE_88,9.509664584,99.1334194
F_BGtE_89,8.962705853,99.22611781
F_BGtE_90,9.322320406,99.12844809
F_BGtE_91,8.319199268,99.97729774
F_BGtE_92,10.84165963,99.22124185
F_BGtE_93,6.926697394,99.93592366
F_BGtE_94,6.815879048,101.1535388
F_BGtE_95,10.69414957,99.14252186
F_BGtE_96,8.623135523,98.99239414
F_BGtE_97,10.99350979,99.38950942
F_BGtE_98,15.02887581,102.0390343
F_BGtE_99,14.5323931,99.98560237
F_BGtE_100,8.2640813,99.08514797
F_BGtE_101,13.86393029,9.64794052
F_BGtE_102,14.08285096,100.7793776
F_BGtE_103,13.9173346,99.76715616
F_BGtE_104,14.14749804,100.4898154
F_BGtE_105,14.65955495,100.4728245
F_BGtE_106,13.9344525,101.9282019
F_BGtE_107,16.65673106,99.53398173
F_BGtE_108,14.90082416,102.1567463
F_BGtE_109,15.59356393,101.9051106
F_BGtE_110,8.351472163,99.05547925
F_BGtE_111,10.39536253,99.13002488
F_BGtE_112,7.743278985,99.30961027
F_BGtE_113,8.533394055,99.10397782
F_BGtE_114,14.25200922,100.9920129
F_BGtE_115,9.20363364,99.5919002
F_BGtE_116,15.04428515,99.83490327
F_BGtE_117,9.070618265,98.41842191
F_BGtE_118,13.88203436,99.44504646
F_BGtE_119,14.0881209,99.8387843
F_BGtE_120,13.93504279,99.79015644
F_BGtE_121,14.0317851,99.86272568
F_BGtE_122,12.77034712,101.1423526
F_BGtE_123,9.002272056,99.26697718
F_BGtE_124,14.98813579,101.7466916
F_BGtE_125,9.604878888,99.12648908
F_BGtE_126,10.60346771,98.99078961
F_BGtE_127,15.30317513,103.2512454
F_BGtE_128,15.23778489,105.1527451
F_BGtE_129,15.22594693,105.0815421
F_BGtE_130,8.433670007,99.06930565
F_BGtE_131,14.57577797,100.310497
F_BGtE_132,14.4754001,100.1719523
F_BGtE_133,14.86290847,102.1918561
F_BGtE_134,14.96015054,101.9485472
F_BGtE_135,14.10526788,99.52124805
F_BGtE_136,19.16306352,98.90421302
F_BGtE_137,8.676498409,98.80144193
F_BGtE_138,7.921529432,99.2563858
F_BGtE_139,13.73489387,99.68983321
F_BGtE_140,10.16023672,99.09797552
F_BGtE_141,14.90063633,102.151991
F_BGtE_142,8.493376997,99.23060744
F_BGtE_143,14.97901546,101.7470514
F_BGtE_144,13.07588743,101.3953778
F_BGtE_145,8.086987708,100.1421317
F_BGtE_146,15.30576324,101.0824946
F_BGtE_147,14.84621628,99.7817113
F_BGtE_148,11.21153568,99.40622408
F_BGtE_149,9.743313769,99.08237496
F_BGtE_150,9.247613314,99.66621649
F_BGtE_151,10.56879008,98.87981902
F_BGtE_152,14.96015201,101.9485412
F_BGtE_153,15.86027393,102.3578414
F_BGtE_154,16.28127192,101.9226392
F_BGtE_155,9.316719388,99.1234795
F_BGtE_156,15.07941211,101.900581
F_BGtE_157,15.98039866,104.9622871
F_BGtE_158,13.86501183,99.70551739
F_BGtE_159,14.55937642,99.75671751
F_BGtE_160,15.49934002,100.4198463
F_BGtE_161,15.05714624,101.9120003
F_BGtE_162,13.83544772,99.35157496
F_BGtE_163,8.402146809,99.32382955
F_BGtE_164,14.55935162,99.7567127
F_BGtE_165,14.37086174,99.90200364
F_BGtE_166,14.47917258,99.74556164
F_BGtE_167,10.50665353,98.97717359
F_BGtE_168,8.376782276,98.71506462
F_BGtE_169,9.74390359,98.60901893
F_BGtE_170,14.52426213,99.39725295
F_BGtE_171,10.30210202,99.02394625
F_BGtE_172,8.613246648,99.00078951
F_BGtE_173,14.46958715,99.72164686
F_BGtE_174,16.21737294,99.71906526
F_BGtE_175,17.29582533,102.7944077
F_BGtE_176,14.04721632,100.0208765
F_BGtE_177,8.515244855,99.93131117
F_BGtE_178,9.255075023,99.17329405
F_BGtE_179,15.03602922,99.59882462
F_BGtE_180,13.38715866,99.81978079
F_BGtE_181,8.613246648,99.00078951
F_BGtE_182,6.44006765,101.8208598
F_BGtE_183,16.28057905,101.8777666
F_BGtE_184,16.28057489,101.8777557
F_BGtE_185,6.81776189,101.1526839
F_BGtE_186,14.38098015,99.82910537
F_BGtE_187,14.3043678,99.88504089
F_BEth_1,14.84074727,99.77774912
F_BEth_2,15.3690863,100.2429951
F_BEth_3,13.87851269,99.80535074
F_BEth_4,16.48373612,102.1212723
F_BEth_5,16.47136361,104.036566
F_BEth_6,16.47136361,104.036566
F_BEth_7,14.83621039,99.7650467
F_BEth_8,15.12663751,102.4440111
F_BEth_9,16.72990322,102.8432994
F_BEth_10,14.47727564,99.51173464
F_BEth_11,14.8389774,101.0720483
F_BEth_12,16.65900051,98.5369101
F_BEth_13,13.83457512,99.85889588
F_BEth_14,13.78329811,102.2100804
F_BEth_15,14.04987163,100.1687912
F_BEth_16,14.84074727,99.77774912
F_BEth_17,13.70281789,101.4982601
F_BEth_18,14.54845767,100.7070165
F_BEth_19,15.2527227,101.1729835
F_BEth_20,15.91321167,102.6596554
F_BEth_21,13.8998658,101.9787195
F_BEth_22,13.13875431,101.3662636
F_BEth_23,13.91280043,101.5707822
F_BEth_24,15.15545438,105.0412552
F_BEth_25,13.69901102,101.4540164
F_BEth_26,14.49520318,102.3050642
F_BEth_27,13.80938278,101.7619827
